"Country or territory of asylum or residence","Country or territory of origin","Year","Refugees","Refugees assisted by UNHCR","Total refugees and people in refugee-like situations","Total refugees and people in refugee-like situations assisted by UNHCR"
"Greece","Jordan","2003","1","","1",""
"Greece","Kenya","2003","3","","3",""
"Greece","Lebanon","2003","62","4","62","4"
"Greece","Liberia","2003","6","","6",""
"Greece","Libya","2003","1","1","1","1"
"Greece","Morocco","2003","4","","4",""
"Greece","Myanmar","2003","2","","2",""
"Greece","Nigeria","2003","20","5","20","5"
"Greece","Pakistan","2003","7","","7",""
"Greece","Russian Federation","2003","9","8","9","8"
"Greece","Rwanda","2003","17","","17",""
"Greece","Serbia (and Kosovo: S/RES/1244 (1999))","2003","35","","35",""
"Greece","Sierra Leone","2003","23","1","23","1"
"Greece","Somalia","2003","2","","2",""
"Greece","Sri Lanka","2003","41","","41",""
"Greece","State of Palestine","2003","30","","30",""
"Greece","Sudan","2003","45","3","45","3"
"Greece","Syrian Arab Rep.","2003","55","9","55","9"
"Greece","Tunisia","2003","3","","3",""
"Greece","Turkey","2003","620","8","620","8"
"Greece","Various","2003","150","","150",""
"Greece","Viet Nam","2003","4","1","4","1"
"Guatemala","Angola","2003","1","","1",""
"Guatemala","China","2003","3","","3",""
"Guatemala","Colombia","2003","2","","2",""
"Guatemala","Cuba","2003","9","1","9","1"
"Guatemala","Dominican Rep.","2003","1","","1",""
"Guatemala","El Salvador","2003","176","1","176","1"
"Guatemala","Ethiopia","2003","2","","2",""
"Guatemala","Haiti","2003","3","","3",""
"Guatemala","Honduras","2003","13","1","13","1"
"Guatemala","India","2003","3","","3",""
"Guatemala","Nicaragua","2003","481","4","481","4"
"Guatemala","Nigeria","2003","1","","1",""
"Guatemala","Peru","2003","6","","6",""
"Guatemala","Russian Federation","2003","4","","4",""
"Guatemala","Sri Lanka","2003","9","","9",""
"Guatemala","Sudan","2003","1","","1",""
"Guinea","Algeria","2003","3","1","3","1"
"Guinea","Burkina Faso","2003","4","","4",""
"Guinea","Burundi","2003","8","4","8","4"
"Guinea","Cameroon","2003","3","1","3","1"
"Guinea","Central African Rep.","2003","1","","1",""
"Guinea","Chad","2003","22","","22",""
"Guinea","Comoros","2003","21","10","21","10"
"Guinea","Congo","2003","1","","1",""
"Guinea","Côte d'Ivoire","2003","9552","7056","9552","7056"
"Guinea","Cuba","2003","8","1","8","1"
"Guinea","Dem. Rep. of the Congo","2003","43","1","43","1"
"Guinea","Ghana","2003","5","","5",""
"Guinea","Guinea-Bissau","2003","1","","1",""
"Guinea","Liberia","2003","149639","89408","149639","89408"
"Guinea","Nigeria","2003","10","3","10","3"
"Guinea","Russian Federation","2003","2","2","2","2"
"Guinea","Rwanda","2003","8","1","8","1"
"Guinea","Sierra Leone","2003","25000","15002","25000","15002"
"Guinea","Sudan","2003","2","1","2","1"
"Guinea","Togo","2003","8","","8",""
"Guinea-Bissau","Liberia","2003","22","","22",""
"Guinea-Bissau","Senegal","2003","7317","7317","7317","7317"
"Guinea-Bissau","Sierra Leone","2003","208","208","208","208"
"Guinea-Bissau","Various","2003","4","4","4","4"
"Honduras","Colombia","2003","1","","1",""
"Honduras","Cuba","2003","5","1","5","1"
"Honduras","Ethiopia","2003","3","","3",""
"Honduras","Haiti","2003","8","1","8","1"
"Honduras","Islamic Rep. of Iran","2003","4","","4",""
"Honduras","Peru","2003","2","","2",""
"Hong Kong SAR, China","Colombia","2003","1","","1",""
"Hong Kong SAR, China","Côte d'Ivoire","2003","3","3","3","3"
"Hong Kong SAR, China","Dem. Rep. of the Congo","2003","3","3","3","3"
"Hong Kong SAR, China","Ethiopia","2003","1","1","1","1"
"Hong Kong SAR, China","Guinea-Bissau","2003","1","1","1","1"
"Hong Kong SAR, China","Islamic Rep. of Iran","2003","1","1","1","1"
"Hong Kong SAR, China","Myanmar","2003","1","1","1","1"
"Hong Kong SAR, China","Nepal","2003","1","1","1","1"
"Hong Kong SAR, China","Pakistan","2003","68","68","68","68"
"Hong Kong SAR, China","Sierra Leone","2003","1","1","1","1"
"Hong Kong SAR, China","Sri Lanka","2003","6","6","6","6"
"Hong Kong SAR, China","Stateless","2003","3","2","3","2"
"Hong Kong SAR, China","Viet Nam","2003","1810","1","1810","1"
"Hong Kong SAR, China","Zimbabwe","2003","2","2","2","2"
"Hungary","Afghanistan","2003","1705","","1705",""
"Hungary","Albania","2003","9","","9",""
"Hungary","Algeria","2003","42","","42",""
"Hungary","Angola","2003","15","","15",""
"Hungary","Armenia","2003","70","","70",""
"Hungary","Azerbaijan","2003","2","","2",""
"Hungary","Bangladesh","2003","3","","3",""
"Hungary","Bosnia and Herzegovina","2003","4","","4",""
"Hungary","Burkina Faso","2003","1","","1",""
"Hungary","Burundi","2003","1","","1",""
"Hungary","Cameroon","2003","78","","78",""
"Hungary","China","2003","4","","4",""
"Hungary","Congo","2003","13","","13",""
"Hungary","Croatia","2003","33","","33",""
"Hungary","Cuba","2003","3","","3",""
"Hungary","Dem. Rep. of the Congo","2003","21","","21",""
"Hungary","Egypt","2003","1","","1",""
"Hungary","Ethiopia","2003","32","","32",""
"Hungary","Georgia","2003","83","","83",""
"Hungary","Ghana","2003","4","","4",""
"Hungary","Guinea","2003","4","","4",""
"Hungary","Iraq","2003","938","","938",""
"Hungary","Islamic Rep. of Iran","2003","94","","94",""
"Hungary","Kenya","2003","2","","2",""
"Hungary","Kuwait","2003","2","","2",""
"Hungary","Lebanon","2003","3","","3",""
"Hungary","Liberia","2003","10","","10",""
"Hungary","Libya","2003","2","","2",""
"Hungary","Madagascar","2003","1","","1",""
"Hungary","Nigeria","2003","64","","64",""
"Hungary","Pakistan","2003","10","","10",""
"Hungary","Rep. of Moldova","2003","2","","2",""
"Hungary","Romania","2003","1318","","1318",""
"Hungary","Russian Federation","2003","90","","90",""
"Hungary","Senegal","2003","2","","2",""
"Hungary","Serbia (and Kosovo: S/RES/1244 (1999))","2003","1989","","1989",""
"Hungary","Sierra Leone","2003","36","","36",""
"Hungary","Somalia","2003","98","","98",""
"Hungary","Sri Lanka","2003","5","","5",""
"Hungary","State of Palestine","2003","31","","31",""
"Hungary","Stateless","2003","23","","23",""
"Hungary","Sudan","2003","94","","94",""
"Hungary","Syrian Arab Rep.","2003","17","","17",""
"Hungary","The former Yugoslav Rep. of Macedonia","2003","1","","1",""
"Hungary","Togo","2003","2","","2",""
"Hungary","Turkey","2003","30","","30",""
"Hungary","Ukraine","2003","15","","15",""
"Hungary","United Rep. of Tanzania","2003","1","","1",""
"Hungary","Uzbekistan","2003","3","","3",""
"Hungary","Various","2003","10","","10",""
"Hungary","Viet Nam","2003","1","","1",""
"Hungary","Zimbabwe","2003","1","","1",""
"Iceland","Albania","2003","9","","9",""
"Iceland","Algeria","2003","2","","2",""
"Iceland","Belarus","2003","1","","1",""
"Iceland","Croatia","2003","23","","23",""
"Iceland","Dem. Rep. of the Congo","2003","1","","1",""
"Iceland","Gambia","2003","1","","1",""
"Iceland","Georgia","2003","1","","1",""
"Iceland","Ghana","2003","1","","1",""
"Iceland","Iraq","2003","4","","4",""
"Iceland","Islamic Rep. of Iran","2003","5","","5",""
"Iceland","Lebanon","2003","1","","1",""
"Iceland","Libya","2003","1","","1",""
"Iceland","Morocco","2003","1","","1",""
"Iceland","Myanmar","2003","1","","1",""
"Iceland","Romania","2003","4","","4",""
"Iceland","Russian Federation","2003","1","","1",""
"Iceland","Serbia (and Kosovo: S/RES/1244 (1999))","2003","169","","169",""
"Iceland","Sierra Leone","2003","1","","1",""
"Iceland","Slovakia","2003","4","","4",""
"Iceland","Stateless","2003","1","","1",""
"Iceland","Syrian Arab Rep.","2003","1","","1",""
"Iceland","The former Yugoslav Rep. of Macedonia","2003","1","","1",""
"Iceland","Tunisia","2003","1","","1",""
"Iceland","Turkey","2003","1","","1",""
"Iceland","Ukraine","2003","3","","3",""
"India","Afghanistan","2003","10283","10283","10283","10283"
"India","Bangladesh","2003","2","2","2","2"
"India","China","2003","92349","7","92349","7"
"India","Congo","2003","1","1","1","1"
"India","Ethiopia","2003","11","11","11","11"
"India","Iraq","2003","22","22","22","22"
"India","Islamic Rep. of Iran","2003","73","73","73","73"
"India","Israel","2003","14","14","14","14"
"India","Kazakhstan","2003","3","3","3","3"
"India","Lao People's Dem. Rep.","2003","1","1","1","1"
"India","Liberia","2003","7","7","7","7"
"India","Myanmar","2003","940","940","940","940"
"India","Rwanda","2003","7","7","7","7"
"India","Serbia (and Kosovo: S/RES/1244 (1999))","2003","1","1","1","1"
"India","Somalia","2003","66","66","66","66"
"India","Sri Lanka","2003","60922","","60922",""
"India","Sudan","2003","55","55","55","55"
"Indonesia","Afghanistan","2003","79","79","79","79"
"Indonesia","Algeria","2003","3","3","3","3"
"Indonesia","Brunei Darussalam","2003","1","1","1","1"
"Indonesia","Dem. Rep. of the Congo","2003","3","3","3","3"
"Indonesia","Iraq","2003","122","122","122","122"
"Indonesia","Islamic Rep. of Iran","2003","6","6","6","6"
"Indonesia","Myanmar","2003","2","2","2","2"
"Indonesia","Somalia","2003","13","13","13","13"
"Indonesia","State of Palestine","2003","1","1","1","1"
"Indonesia","Syrian Arab Rep.","2003","1","1","1","1"
"Indonesia","Viet Nam","2003","2","2","2","2"
"Iraq","Islamic Rep. of Iran","2003","10237","10237","10237","10237"
"Iraq","State of Palestine","2003","22706","22706","22706","22706"
"Iraq","Syrian Arab Rep.","2003","643","643","643","643"
"Iraq","Turkey","2003","13135","13135","13135","13135"
"Ireland","Afghanistan","2003","38","","38",""
"Ireland","Albania","2003","70","","70",""
"Ireland","Algeria","2003","75","","75",""
"Ireland","Angola","2003","230","","230",""
"Ireland","Argentina","2003","1","","1",""
"Ireland","Armenia","2003","11","","11",""
"Ireland","Azerbaijan","2003","14","","14",""
"Ireland","Bangladesh","2003","4","","4",""
"Ireland","Belarus","2003","32","","32",""
"Ireland","Belgium","2003","3","","3",""
"Ireland","Benin","2003","2","","2",""
"Ireland","Bhutan","2003","3","","3",""
"Ireland","Bosnia and Herzegovina","2003","507","","507",""
"Ireland","Bulgaria","2003","38","","38",""
"Ireland","Burkina Faso","2003","1","","1",""
"Ireland","Burundi","2003","14","","14",""
"Ireland","Cameroon","2003","72","","72",""
"Ireland","Central African Rep.","2003","19","","19",""
"Ireland","China","2003","18","","18",""
"Ireland","Colombia","2003","1","","1",""
"Ireland","Congo","2003","11","","11",""
"Ireland","Côte d'Ivoire","2003","59","","59",""
"Ireland","Croatia","2003","151","","151",""
"Ireland","Cuba","2003","3","","3",""
"Ireland","Czech Rep.","2003","102","","102",""
"Ireland","Dem. People's Rep. of Korea","2003","5","","5",""
"Ireland","Dem. Rep. of the Congo","2003","356","","356",""
"Ireland","Egypt","2003","19","","19",""
"Ireland","Eritrea","2003","8","","8",""
"Ireland","Estonia","2003","10","","10",""
"Ireland","Ethiopia","2003","27","","27",""
"Ireland","Gambia","2003","3","","3",""
"Ireland","Georgia","2003","51","","51",""
"Ireland","Ghana","2003","25","","25",""
"Ireland","Guinea","2003","10","","10",""
"Ireland","Guinea-Bissau","2003","1","","1",""
"Ireland","Hungary","2003","4","","4",""
"Ireland","India","2003","3","","3",""
"Ireland","Iraq","2003","178","","178",""
"Ireland","Islamic Rep. of Iran","2003","40","","40",""
"Ireland","Jamaica","2003","3","","3",""
"Ireland","Japan","2003","2","","2",""
"Ireland","Jordan","2003","1","","1",""
"Ireland","Kazakhstan","2003","51","","51",""
"Ireland","Kenya","2003","53","","53",""
"Ireland","Kyrgyzstan","2003","2","","2",""
"Ireland","Latvia","2003","23","","23",""
"Ireland","Lebanon","2003","8","","8",""
"Ireland","Lesotho","2003","1","","1",""
"Ireland","Liberia","2003","26","","26",""
"Ireland","Libya","2003","62","","62",""
"Ireland","Lithuania","2003","14","","14",""
"Ireland","Malawi","2003","2","","2",""
"Ireland","Mauritania","2003","1","","1",""
"Ireland","Morocco","2003","4","","4",""
"Ireland","Nigeria","2003","366","","366",""
"Ireland","Pakistan","2003","79","","79",""
"Ireland","Poland","2003","52","","52",""
"Ireland","Rep. of Moldova","2003","139","","139",""
"Ireland","Romania","2003","255","","255",""
"Ireland","Russian Federation","2003","167","","167",""
"Ireland","Rwanda","2003","33","","33",""
"Ireland","Saudi Arabia","2003","1","","1",""
"Ireland","Serbia (and Kosovo: S/RES/1244 (1999))","2003","295","","295",""
"Ireland","Sierra Leone","2003","63","","63",""
"Ireland","Slovakia","2003","24","","24",""
"Ireland","Somalia","2003","75","","75",""
"Ireland","South Africa","2003","30","","30",""
"Ireland","Sri Lanka","2003","13","","13",""
"Ireland","State of Palestine","2003","32","","32",""
"Ireland","Stateless","2003","14","","14",""
"Ireland","Sudan","2003","54","","54",""
"Ireland","Switzerland","2003","5","","5",""
"Ireland","Syrian Arab Rep.","2003","15","","15",""
"Ireland","Tajikistan","2003","4","","4",""
"Ireland","Thailand","2003","2","","2",""
"Ireland","The former Yugoslav Rep. of Macedonia","2003","3","","3",""
"Ireland","Togo","2003","46","","46",""
"Ireland","Tunisia","2003","5","","5",""
"Ireland","Turkey","2003","12","","12",""
"Ireland","Uganda","2003","21","","21",""
"Ireland","Ukraine","2003","88","","88",""
"Ireland","United Kingdom","2003","8","","8",""
"Ireland","United Rep. of Tanzania","2003","4","","4",""
"Ireland","Uzbekistan","2003","21","","21",""
"Ireland","Various","2003","1296","","1296",""
"Ireland","Viet Nam","2003","2","","2",""
"Ireland","Yemen","2003","1","","1",""
"Ireland","Zambia","2003","3","","3",""
"Ireland","Zimbabwe","2003","271","","271",""
"Islamic Rep. of Iran","Afghanistan","2003","834699","834699","834699","834699"
"Islamic Rep. of Iran","Iraq","2003","150196","150196","150196","150196"
"Islamic Rep. of Iran","Various","2003","1","1","1","1"
"Israel","Armenia","2003","2","","2",""
"Israel","Bosnia and Herzegovina","2003","1","","1",""
"Israel","Chad","2003","1","","1",""
"Israel","China","2003","2","","2",""
"Israel","Colombia","2003","7","","7",""
"Israel","Dem. Rep. of the Congo","2003","5","","5",""
"Israel","Egypt","2003","1","","1",""
"Israel","Eritrea","2003","7","","7",""
"Israel","Ethiopia","2003","77","","77",""
"Israel","Iraq","2003","13","","13",""
"Israel","Lebanon","2003","3909","","3909",""
"Israel","Liberia","2003","4","","4",""
"Israel","Myanmar","2003","1","","1",""
"Israel","Sierra Leone","2003","142","","142",""
"Israel","Sudan","2003","5","","5",""
"Israel","Turkey","2003","2","","2",""
"Italy","Afghanistan","2003","186","","186",""
"Italy","Albania","2003","273","","273",""
"Italy","Algeria","2003","58","","58",""
"Italy","Angola","2003","121","","121",""
"Italy","Armenia","2003","26","","26",""
"Italy","Azerbaijan","2003","7","","7",""
"Italy","Bangladesh","2003","25","","25",""
"Italy","Belarus","2003","1","","1",""
"Italy","Benin","2003","3","","3",""
"Italy","Bosnia and Herzegovina","2003","59","","59",""
"Italy","Burundi","2003","47","","47",""
"Italy","Cambodia","2003","6","","6",""
"Italy","Cameroon","2003","81","","81",""
"Italy","Central African Rep.","2003","2","","2",""
"Italy","Chad","2003","2","","2",""
"Italy","China","2003","6","","6",""
"Italy","Colombia","2003","114","","114",""
"Italy","Congo","2003","327","","327",""
"Italy","Côte d'Ivoire","2003","8","","8",""
"Italy","Croatia","2003","5","","5",""
"Italy","Cuba","2003","12","","12",""
"Italy","Dem. Rep. of the Congo","2003","380","","380",""
"Italy","Ecuador","2003","2","","2",""
"Italy","Egypt","2003","11","","11",""
"Italy","El Salvador","2003","1","","1",""
"Italy","Eritrea","2003","177","","177",""
"Italy","Ethiopia","2003","333","","333",""
"Italy","Gabon","2003","1","","1",""
"Italy","Gambia","2003","12","","12",""
"Italy","Georgia","2003","39","","39",""
"Italy","Ghana","2003","10","","10",""
"Italy","Guinea","2003","2","","2",""
"Italy","Guinea-Bissau","2003","1","","1",""
"Italy","India","2003","6","","6",""
"Italy","Iraq","2003","1282","","1282",""
"Italy","Islamic Rep. of Iran","2003","585","","585",""
"Italy","Jordan","2003","2","","2",""
"Italy","Kazakhstan","2003","5","","5",""
"Italy","Kenya","2003","2","","2",""
"Italy","Lebanon","2003","24","","24",""
"Italy","Liberia","2003","38","","38",""
"Italy","Libya","2003","1","","1",""
"Italy","Lithuania","2003","1","","1",""
"Italy","Mauritania","2003","1","","1",""
"Italy","Morocco","2003","3","","3",""
"Italy","Myanmar","2003","2","","2",""
"Italy","Nigeria","2003","67","","67",""
"Italy","Pakistan","2003","60","","60",""
"Italy","Papua New Guinea","2003","2","","2",""
"Italy","Peru","2003","6","","6",""
"Italy","Poland","2003","2","","2",""
"Italy","Rep. of Moldova","2003","11","","11",""
"Italy","Romania","2003","43","","43",""
"Italy","Russian Federation","2003","219","","219",""
"Italy","Rwanda","2003","190","","190",""
"Italy","Senegal","2003","2","","2",""
"Italy","Serbia (and Kosovo: S/RES/1244 (1999))","2003","2230","","2230",""
